Code,Year,HealthExp
ARG,2005,7.61078882
ARG,2006,7.64032793
ARG,2007,7.83455086
ARG,2008,8.1826973
ARG,2009,9.45599556
ARG,2010,9.44546413
ARG,2011,9.41819859
ARG,2012,9.82726669
ARG,2013,9.78097916
ARG,2014,9.67129993
ARG,2015,10.22933674
ARG,2016,9.85558891
ARG,2017,10.23174763
ARG,2018,10.29146862
ARG,2019,10.04194355
ARG,2020,10.34701538
ARG,2021,9.70880699
ARM,2000,4.2
ARM,2001,4.65
ARM,2002,7.61
ARM,2003,7.18
ARM,2004,6.06
ARM,2005,5.86
ARM,2006,5.85
ARM,2007,5.5
ARM,2008,6.64
ARM,2009,8.44
ARM,2010,9.24
ARM,2011,9.38
ARM,2012,9.13
ARM,2013,10.32
ARM,2014,10.18
ARM,2015,10.12
ARM,2016,9.95
ARM,2017,10.36
ARM,2018,10.01
ARM,2019,11.38
ARM,2020,12.24
ARM,2021,12.34
ASM,2000,
ASM,2001,
ASM,2002,
ASM,2003,
ASM,2004,
ASM,2005,
ASM,2006,
ASM,2007,
ASM,2008,
ASM,2009,
ASM,2010,
ASM,2011,
ASM,2012,
ASM,2013,
ASM,2014,
ASM,2015,
ASM,2016,
ASM,2017,
ASM,2018,
ASM,2019,
ASM,2020,
ASM,2021,
ATG,2000,4.71542597
ATG,2001,5.43839121
ATG,2002,5.28793621
ATG,2003,5.58143282
ATG,2004,5.11667967
ATG,2005,4.99094057
ATG,2006,4.63050652
ATG,2007,4.44609547
ATG,2008,4.20027018
ATG,2009,4.17732763
ATG,2010,5.37907028
ATG,2011,5.44257212
ATG,2012,5.47921467
ATG,2013,5.50909233
ATG,2014,5.87269926
ATG,2015,5.27965546
ATG,2016,5.12190151
ATG,2017,4.87493944
ATG,2018,4.84869289
ATG,2019,4.37567186
ATG,2020,5.92146206
ATG,2021,5.85133028
AUS,2000,7.59412289
AUS,2001,7.67809916
AUS,2002,7.87627029
AUS,2003,7.88087225
AUS,2004,8.08708572
AUS,2005,7.97029352
AUS,2006,7.97702456
AUS,2007,8.05496502
AUS,2008,8.24855137
AUS,2009,8.54473877
AUS,2010,8.42025661
AUS,2011,8.53744984
AUS,2012,8.67456913
AUS,2013,8.75058746
AUS,2014,9.83354282
AUS,2015,10.18225861
AUS,2016,10.09288597
AUS,2017,10.12281322
AUS,2018,10.05971909
AUS,2019,10.21965981
AUS,2020,10.6837368
AUS,2021,10.54363918
AUT,2000,9.2
AUT,2001,9.27
AUT,2002,9.39
AUT,2003,9.55
AUT,2004,9.71
AUT,2005,9.63
AUT,2006,9.53
AUT,2007,9.53
AUT,2008,9.73
AUT,2009,10.23
AUT,2010,10.22
AUT,2011,10.03
AUT,2012,10.2
AUT,2013,10.29
AUT,2014,10.37
AUT,2015,10.37
AUT,2016,10.35
AUT,2017,10.38
AUT,2018,10.35
AUT,2019,10.49
AUT,2020,11.39
AUT,2021,12.1
AZE,2000,2.95
AZE,2001,2.77
AZE,2002,2.73
AZE,2003,2.73
AZE,2004,2.66
AZE,2005,2.23
AZE,2006,2.07
AZE,2007,1.99
AZE,2008,2.05
AZE,2009,2.77
AZE,2010,2.65
AZE,2011,2.6
AZE,2012,3.16
AZE,2013,3.23
AZE,2014,3.59
AZE,2015,4.34
AZE,2016,4.42
AZE,2017,4.07
AZE,2018,3.84
AZE,2019,4.18
AZE,2020,5.85
AZE,2021,4.7
BDI,2000,4.22181606
BDI,2001,5.68180418
BDI,2002,5.34983587
BDI,2003,5.27245188
BDI,2004,7.09572744
BDI,2005,7.56016588
BDI,2006,8.71264839
BDI,2007,9.1855402
BDI,2008,7.74147511
BDI,2009,9.23238468
BDI,2010,11.28196716
BDI,2011,10.06996346
BDI,2012,8.63756466
BDI,2013,8.62834644
BDI,2014,7.21081543
BDI,2015,6.29022646
BDI,2016,7.06148243
BDI,2017,6.95275736
BDI,2018,7.29396152
BDI,2019,9.05010796
BDI,2020,10.71837234
BDI,2021,9.10190964
BEL,2000,7.99917603
BEL,2001,8.14988804
BEL,2002,8.31820965
BEL,2003,9.16443539
BEL,2004,9.32808781
BEL,2005,9.22374916
BEL,2006,9.12963009
BEL,2007,9.13628674
BEL,2008,9.5951395
BEL,2009,10.32117939
BEL,2010,10.20229435
BEL,2011,10.36337948
BEL,2012,10.50204754
BEL,2013,10.57661152
BEL,2014,10.60909367
BEL,2015,10.79745102
BEL,2016,10.79354668
BEL,2017,10.79855728
BEL,2018,10.86148262
BEL,2019,10.79477787
BEL,2020,11.19751263
BEL,2021,11.04290771
BEN,2000,2.9591713
BEN,2001,3.30417323
BEN,2002,3.09589195
BEN,2003,3.11678505
BEN,2004,3.23273873
BEN,2005,3.22345805
BEN,2006,3.28773856
BEN,2007,2.93715644
BEN,2008,2.65178108
BEN,2009,2.88892651
BEN,2010,3.00988984
BEN,2011,2.99707985
BEN,2012,3.07562971
BEN,2013,2.86880755
BEN,2014,2.69111967
BEN,2015,2.72813416
BEN,2016,2.79549599
BEN,2017,2.66813827
BEN,2018,2.88632059
BEN,2019,2.50914454
BEN,2020,2.46970391
BEN,2021,2.58129549
BFA,2000,2.9502635
BFA,2001,2.88835382
BFA,2002,2.97113013
BFA,2003,3.14307284
BFA,2004,4.21720934
BFA,2005,3.95109582
BFA,2006,4.51446247
BFA,2007,5.23373222
BFA,2008,4.64780712
BFA,2009,5.08159161
BFA,2010,5.23958349
BFA,2011,4.64868164
BFA,2012,4.60267258
BFA,2013,5.56331587
BFA,2014,5.00027227
BFA,2015,5.13192415
BFA,2016,5.96067238
BFA,2017,6.02490044
BFA,2018,5.0057807
BFA,2019,5.31868935
BFA,2020,6.50193262
BFA,2021,6.37691164
BGD,2000,1.80504513
BGD,2001,1.77201855
BGD,2002,1.93417108
BGD,2003,1.96152198
BGD,2004,1.99854314
BGD,2005,2.05873919
BGD,2006,2.10646582
BGD,2007,2.17268491
BGD,2008,2.11878848
BGD,2009,2.18321705
BGD,2010,2.28807664
BGD,2011,2.36418128
BGD,2012,2.3537879
BGD,2013,2.29574466
BGD,2014,2.27915168
BGD,2015,2.27217698
BGD,2016,2.38938212
BGD,2017,2.36720181
BGD,2018,2.31622243
BGD,2019,2.25762248
BGD,2020,2.27063942
BGD,2021,2.36492991
BGR,2000,5.83
BGR,2001,6.86
BGR,2002,7.08
BGR,2003,7.2
BGR,2004,6.89
BGR,2005,6.89
BGR,2006,6.53
BGR,2007,6.16
BGR,2008,6.28
BGR,2009,6.6
BGR,2010,7.1
BGR,2011,7.1
BGR,2012,7.54
BGR,2013,7.14
BGR,2014,7.68
BGR,2015,7.39
BGR,2016,7.46
BGR,2017,7.49
BGR,2018,7.33
BGR,2019,7.09
BGR,2020,8.48
BGR,2021,8.56
BHR,2000,3.33542562
BHR,2001,3.48573017
BHR,2002,3.67866111
BHR,2003,3.88658071
BHR,2004,3.49817729
BHR,2005,3.25870824
BHR,2006,3.10821271
BHR,2007,3.29534078
BHR,2008,3.2038722
BHR,2009,4.32666922
BHR,2010,4.08934975
BHR,2011,3.8651762
BHR,2012,4.10642147
BHR,2013,4.30853891
BHR,2014,4.41240263
BHR,2015,4.97671938
BHR,2016,4.86051178
BHR,2017,4.51235676
BHR,2018,4.12745667
BHR,2019,3.95980334
BHR,2020,4.71684837
BHR,2021,4.26834059
BHS,2000,3.80487037
BHS,2001,3.92440891
BHS,2002,3.81251931
BHS,2003,4.01998568
BHS,2004,4.04628181
BHS,2005,4.03196478
BHS,2006,4.30935764
BHS,2007,4.49598694
BHS,2008,4.86261654
BHS,2009,5.1500144
BHS,2010,5.25594234
BHS,2011,5.32398558
BHS,2012,5.3190918
BHS,2013,5.59409571
BHS,2014,5.53944159
BHS,2015,5.16048241
BHS,2016,5.68248844
BHS,2017,6.70352888
BHS,2018,5.98263836
BHS,2019,5.82275152
BHS,2020,7.64700842
BHS,2021,7.13872051
BIH,2000,8
BIH,2001,7.61
BIH,2002,7.43
BIH,2003,8.31
BIH,2004,9.06
BIH,2005,9.05
BIH,2006,9.17
BIH,2007,9.53
BIH,2008,9.69
BIH,2009,9.02
BIH,2010,9.02
BIH,2011,9.18
BIH,2012,9.49
BIH,2013,9.45
BIH,2014,9.49
BIH,2015,9.24
BIH,2016,9.14
BIH,2017,8.82
BIH,2018,8.76
BIH,2019,8.93
BIH,2020,9.7
BIH,2021,9.56
BLR,2000,5.28
BLR,2001,5.71
BLR,2002,5.62
BLR,2003,5.77
BLR,2004,5.74
BLR,2005,6.07
BLR,2006,5.57
BLR,2007,5.69
BLR,2008,5.29
BLR,2009,5.39
BLR,2010,5.66
BLR,2011,4.87
BLR,2012,5.25
BLR,2013,5.7
BLR,2014,5.39
BLR,2015,6.07
BLR,2016,5.91
BLR,2017,5.76
BLR,2018,5.53
BLR,2019,5.86
BLR,2020,6.41
BLR,2021,6.57
BLZ,2000,2.98060012
BLZ,2001,3.49099278
BLZ,2002,3.59433174
BLZ,2003,3.56305766
BLZ,2004,3.44779563
BLZ,2005,3.46698904
BLZ,2006,3.57004833
BLZ,2007,4.07867432
BLZ,2008,4.53821993
BLZ,2009,4.52587652
BLZ,2010,4.49519491
BLZ,2011,4.54942894
BLZ,2012,4.36242819
BLZ,2013,4.43660116
BLZ,2014,4.88208723
BLZ,2015,4.65365601
BLZ,2016,4.76508141
BLZ,2017,4.61620188
BLZ,2018,4.74657917
BLZ,2019,4.81374073
BLZ,2020,5.30974436
BLZ,2021,4.98043823
BMU,2000,
BMU,2001,
BMU,2002,
BMU,2003,
BMU,2004,
BMU,2005,
BMU,2006,
BMU,2007,
BMU,2008,
BMU,2009,
BMU,2010,
BMU,2011,
BMU,2012,
BMU,2013,
BMU,2014,
BMU,2015,
BMU,2016,
BMU,2017,
BMU,2018,
BMU,2019,
BMU,2020,
BMU,2021,
BOL,2000,4.39554119
BOL,2001,4.82522202
BOL,2002,4.89645052
BOL,2003,5.19709635
BOL,2004,4.86315727
BOL,2005,5.07408142
BOL,2006,4.66087532
BOL,2007,4.6968894
BOL,2008,4.60677242
BOL,2009,5.17444515
BOL,2010,5.20230532
BOL,2011,5.17306805
BOL,2012,5.2539444
BOL,2013,5.57465124
BOL,2014,5.89613628
BOL,2015,6.55064964
BOL,2016,6.83333063
BOL,2017,6.4901948
BOL,2018,6.60399437
BOL,2019,6.88792992
BOL,2020,8.0225811
BOL,2021,8.15972805
BRA,2000,8.33457184
BRA,2001,8.54963303
BRA,2002,8.69686985
BRA,2003,8.18899441
BRA,2004,8.12491989
BRA,2005,8.03539562
BRA,2006,8.24952507
BRA,2007,8.20182991
BRA,2008,8.01128483
BRA,2009,8.39480495
BRA,2010,7.94516611
BRA,2011,7.78819132
BRA,2012,7.73637724
BRA,2013,7.9766016
BRA,2014,8.39644146
BRA,2015,8.90929985
BRA,2016,9.16901493
BRA,2017,9.47124863
BRA,2018,9.46475029
BRA,2019,9.61449146
BRA,2020,10.18235016
BRA,2021,9.89072323
BRB,2000,5.33187246
BRB,2001,5.52529192
BRB,2002,5.86123466
BRB,2003,6.69148111
BRB,2004,7.31297731
BRB,2005,6.77536297
BRB,2006,6.58370161
BRB,2007,6.05665207
BRB,2008,6.47753286
BRB,2009,7.14522552
BRB,2010,6.77094746
BRB,2011,6.89690495
BRB,2012,7.77819967
BRB,2013,7.39825487
BRB,2014,6.96651411
BRB,2015,6.83201313
BRB,2016,6.83736086
BRB,2017,6.65253401
BRB,2018,6.45336485
BRB,2019,6.20015001
BRB,2020,7.37276554
BRB,2021,8.09043312
BRN,2000,2.5479064
BRN,2001,2.5465107
BRN,2002,2.53447938
BRN,2003,2.60260582
BRN,2004,2.55193377
BRN,2005,2.23386168
BRN,2006,1.9072516
BRN,2007,1.94145441
BRN,2008,1.87612021
BRN,2009,2.39306617
BRN,2010,2.27826095
BRN,2011,1.86409724
BRN,2012,1.85097206
BRN,2013,1.898314
BRN,2014,1.91436803
BRN,2015,2.38708901
BRN,2016,2.54828691
BRN,2017,2.27022862
BRN,2018,2.41289377
BRN,2019,2.19410944
BRN,2020,2.39334464
BRN,2021,2.20486665
BTN,2000,4.44684267
BTN,2001,5.0041995
BTN,2002,4.59563637
BTN,2003,4.1293807
BTN,2004,4.59777308
BTN,2005,4.13416338
BTN,2006,4.4061017
BTN,2007,4.1298461
BTN,2008,3.38117099
BTN,2009,3.5476253
BTN,2010,3.55879498
BTN,2011,3.34921789
BTN,2012,3.61913681
BTN,2013,3.70787191
BTN,2014,3.55791116
BTN,2015,3.75701189
BTN,2016,3.57613945
BTN,2017,3.3407371
BTN,2018,3.2427721
BTN,2019,3.60361075
BTN,2020,4.36274862
BTN,2021,3.84550023
BWA,2000,6.10838556
BWA,2001,6.3660779
BWA,2002,6.66529799
BWA,2003,6.40933847
BWA,2004,6.09125996
BWA,2005,5.26532936
BWA,2006,4.87599421
BWA,2007,5.52080727
BWA,2008,5.89747286
BWA,2009,6.62081194
BWA,2010,6.26718187
BWA,2011,5.86915016
BWA,2012,6.35010576
BWA,2013,6.49913645
BWA,2014,5.8804059
BWA,2015,6.10287762
BWA,2016,5.76837635
BWA,2017,6.62986994
BWA,2018,6.04010344
BWA,2019,6.12193203
BWA,2020,6.1213398
BWA,2021,6.30929565
CAF,2000,4.27478504
CAF,2001,3.95594192
CAF,2002,4.22761345
CAF,2003,4.39720297
CAF,2004,4.30442286
CAF,2005,4.36732149
CAF,2006,4.44105434
CAF,2007,4.71851492
CAF,2008,4.08699083
CAF,2009,4.81901121
CAF,2010,3.56699872
CAF,2011,3.67561865
CAF,2012,3.91814446
CAF,2013,4.76660204
CAF,2014,4.56557369
CAF,2015,5.03434181
CAF,2016,5.44402313
CAF,2017,6.66541576
CAF,2018,10.99657822
CAF,2019,7.76124763
CAF,2020,8.98538017
CAF,2021,9.06853294
CAN,2000,8.24814415
CAN,2001,8.62482357
CAN,2002,8.85670471
CAN,2003,9.01090145
CAN,2004,9.06628132
CAN,2005,9.03540611
CAN,2006,9.34210205
CAN,2007,9.44540119
CAN,2008,9.60754967
CAN,2009,10.66225815
CAN,2010,10.67611408
CAN,2011,10.37950897
CAN,2012,10.50971508
CAN,2013,10.41174984
CAN,2014,10.25765324
CAN,2015,10.73869705
CAN,2016,11.0319252
CAN,2017,10.90631104
CAN,2018,10.90542507
CAN,2019,11.00887775
CAN,2020,13.0351181
CAN,2021,12.3341074
CEB,2000,5.703093734
CEB,2001,5.904526011
CEB,2002,6.152603439
CEB,2003,6.389783588
CEB,2004,6.352646493
CEB,2005,6.359309415
CEB,2006,6.215409495
CEB,2007,6.127277829
CEB,2008,6.372140169
CEB,2009,6.842440577
CEB,2010,6.895399786
CEB,2011,6.598820879
CEB,2012,6.61643882
CEB,2013,6.673056363
CEB,2014,6.595865555
CEB,2015,6.520013169
CEB,2016,6.676983248
CEB,2017,6.604894014
CEB,2018,6.552157054
CEB,2019,6.663201617
CEB,2020,7.265007052
CEB,2021,7.442092414
CHE,2000,9.13442421
CHE,2001,9.46040154
CHE,2002,9.88000202
CHE,2003,10.13696766
CHE,2004,10.22576523
CHE,2005,10.05823421
CHE,2006,9.58019924
CHE,2007,9.41693878
CHE,2008,9.53167629
CHE,2009,10.1415062
CHE,2010,9.93353558
CHE,2011,10.04628563
CHE,2012,10.14446354
CHE,2013,10.37922478
CHE,2014,10.42800808
CHE,2015,10.77887917
CHE,2016,10.9900341
CHE,2017,11.0451622
CHE,2018,10.77226162
CHE,2019,11.06363678
CHE,2020,11.73206806
CHE,2021,11.80107975
CHI,2000,
CHI,2001,
CHI,2002,
CHI,2003,
CHI,2004,
CHI,2005,
CHI,2006,
CHI,2007,
CHI,2008,
CHI,2009,
CHI,2010,
CHI,2011,
CHI,2012,
CHI,2013,
CHI,2014,
CHI,2015,
CHI,2016,
CHI,2017,
CHI,2018,
CHI,2019,
CHI,2020,
CHI,2021,
CHL,2000,7.00020742
CHL,2001,7.09733057
CHL,2002,7.20833778
CHL,2003,7.25047779
CHL,2004,6.91028547
CHL,2005,6.62372112
CHL,2006,6.07235622
CHL,2007,6.21259642
CHL,2008,6.73954487
CHL,2009,7.25026846
CHL,2010,6.81958437
CHL,2011,6.79947519
CHL,2012,7.01951313
CHL,2013,7.47552633
CHL,2014,7.84150124
CHL,2015,8.3513937
CHL,2016,8.55767059
CHL,2017,9.090518
CHL,2018,9.22575188
CHL,2019,9.36262131
CHL,2020,9.72726822
CHL,2021,9.34327984
CHN,2000,4.50828123
CHN,2001,4.25330067
CHN,2002,4.38285255
CHN,2003,4.41762781
CHN,2004,4.29347467
CHN,2005,4.17605019
CHN,2006,3.94742203
CHN,2007,3.67491412
CHN,2008,3.900002
CHN,2009,4.34958458
CHN,2010,4.23068333
CHN,2011,4.34274387
CHN,2012,4.56584787
CHN,2013,4.71490669
CHN,2014,4.77790594
CHN,2015,4.93827963
CHN,2016,4.97955608
CHN,2017,5.06592178
CHN,2018,5.16790485
CHN,2019,5.3502779
CHN,2020,5.59359741
CHN,2021,5.38360548
CIV,2000,6.12679291
CIV,2001,6.01767921
CIV,2002,5.90386152
CIV,2003,5.47972536
CIV,2004,5.47516584
CIV,2005,5.00639105
CIV,2006,4.76326609
CIV,2007,4.55249786
CIV,2008,4.56869602
CIV,2009,4.46966648
CIV,2010,4.41577387
CIV,2011,4.39700699
CIV,2012,4.4273715
CIV,2013,3.71773791
CIV,2014,3.7310183
CIV,2015,3.2198832
CIV,2016,3.32101274
CIV,2017,3.24693036
CIV,2018,3.0916779
CIV,2019,3.21496511
CIV,2020,3.62587261
CIV,2021,3.13269377
CMR,2000,4.11237431
CMR,2001,3.88486743
CMR,2002,4.02669907
CMR,2003,3.90227985
CMR,2004,3.72798967
CMR,2005,3.77274442
CMR,2006,3.73662806
CMR,2007,3.70858574
CMR,2008,3.65843678
CMR,2009,3.49997187
CMR,2010,3.57742167
CMR,2011,3.85282946
CMR,2012,3.9310236
CMR,2013,3.63111043
CMR,2014,3.78765464
CMR,2015,3.59505081
CMR,2016,3.5937767
CMR,2017,3.39752436
CMR,2018,3.61970162
CMR,2019,3.65157914
CMR,2020,3.77177453
CMR,2021,3.82407379
COD,2000,1.46594739
COD,2001,2.62310958
COD,2002,2.57012916
COD,2003,3.73353338
COD,2004,4.33564186
COD,2005,3.98558235
COD,2006,4.06210661
COD,2007,3.89384961
COD,2008,4.31254768
COD,2009,4.51133156
COD,2010,3.72224283
COD,2011,3.19435549
COD,2012,3.2215035
COD,2013,3.34057522
COD,2014,3.72520614
COD,2015,3.74785447
COD,2016,4.20027828
COD,2017,4.00057793
COD,2018,3.24127173
COD,2019,3.508039
COD,2020,4.05092573
COD,2021,3.7859261
COG,2000,1.50500846
COG,2001,2.18529987
COG,2002,1.70167828
COG,2003,1.91852403
COG,2004,1.92152369
COG,2005,1.71774101
COG,2006,1.70861316
COG,2007,1.90200174
COG,2008,2.2392714
COG,2009,2.1422224
COG,2010,1.85172856
COG,2011,1.75237322
COG,2012,1.90971065
COG,2013,1.94347155
COG,2014,1.97311735
COG,2015,2.45668483
COG,2016,2.77497125
COG,2017,2.52240992
COG,2018,1.8976357
COG,2019,2.54176092
COG,2020,4.39382887
COG,2021,3.87537813
COL,2000,5.63529348
COL,2001,5.94238281
COL,2002,5.73296595
COL,2003,5.77505445
COL,2004,5.79892111
COL,2005,6.06710529
COL,2006,6.33546638
COL,2007,6.49102163
COL,2008,6.84192228
COL,2009,7.3113451
COL,2010,7.07130146
COL,2011,6.78076792
COL,2012,6.74601603
COL,2013,7.01724052
COL,2014,7.18553209
COL,2015,7.52338552
COL,2016,7.53117037
COL,2017,7.67864323
COL,2018,7.62541437
COL,2019,7.77954912
COL,2020,8.71432114
COL,2021,9.01772404
COM,2000,7.5153451
COM,2001,6.65322924
COM,2002,6.68114853
COM,2003,6.65392351
COM,2004,6.58027744
COM,2005,6.12521315
COM,2006,5.77074099
COM,2007,5.41753864
COM,2008,5.06897497
COM,2009,4.92694378
COM,2010,4.99181557
COM,2011,5.3021183
COM,2012,5.17354631
COM,2013,5.10299349
COM,2014,5.23849726
COM,2015,4.60089922
COM,2016,4.65263557
COM,2017,5.26807451
COM,2018,4.90318584
COM,2019,5.18044472
COM,2020,5.86521959
COM,2021,6.33513117
CPV,2000,4.43401194
CPV,2001,4.75244379
CPV,2002,4.7555151
CPV,2003,4.50008631
CPV,2004,4.37710667
CPV,2005,4.27364111
CPV,2006,4.48974991
CPV,2007,4.18900156
CPV,2008,3.58312893
CPV,2009,3.88152432
CPV,2010,4.47555733
CPV,2011,4.30527449
CPV,2012,5.13365459
CPV,2013,5.28994226
CPV,2014,5.32722235
CPV,2015,4.82334185
CPV,2016,4.84606647
CPV,2017,5.2683692
CPV,2018,4.73804712
CPV,2019,4.56319857
CPV,2020,6.12421703
CPV,2021,6.90378904
CRI,2000,6.56498766
CRI,2001,6.47409868
CRI,2002,6.8690877
CRI,2003,6.9691925
CRI,2004,6.63006067
CRI,2005,6.6642971
CRI,2006,6.93530846
CRI,2007,6.99642611
CRI,2008,7.46854782
CRI,2009,7.86019135
CRI,2010,8.02937794
CRI,2011,8.12197781
CRI,2012,7.78642321
CRI,2013,7.68229342
CRI,2014,7.66376162
CRI,2015,7.59196234
CRI,2016,7.31724358
CRI,2017,7.04522991
CRI,2018,7.28587723
CRI,2019,7.22124958
CRI,2020,7.8254571
CRI,2021,7.56881428
CSS,2000,4.312801524
CSS,2001,4.347372418
CSS,2002,4.456862254
CSS,2003,4.672295326
CSS,2004,4.789727446
CSS,2005,4.709501964
CSS,2006,4.841540832
CSS,2007,4.847538051
CSS,2008,5.005797578
CSS,2009,5.252418314
CSS,2010,5.214419385
CSS,2011,5.220558631
CSS,2012,5.231054382
CSS,2013,5.295790902
CSS,2014,5.229563359
CSS,2015,5.244015481
CSS,2016,5.406694741
CSS,2017,5.693009062
CSS,2018,5.635670815
CSS,2019,5.740380652
CSS,2020,6.656423507
CSS,2021,6.300225632
CUB,2000,6.58189821
CUB,2001,6.9820981
CUB,2002,7.11481619
CUB,2003,7.10295439
CUB,2004,6.83178711
CUB,2005,8.75525475
CUB,2006,8.2719059
CUB,2007,10.9674921
CUB,2008,11.31422806
CUB,2009,12.29053974
CUB,2010,10.6880827
CUB,2011,11.31298637
CUB,2012,9.29940987
CUB,2013,10.43099499
CUB,2014,12.1412344
